64 ,64 ,64 ,64 ,64 ,64 ,64 ,64 ,64 ,64 ,64 ,64 ,64 ,64 ,64 ,64 ,64 ,64 ,64 ,64 ,64 ,64 ,64 ,64 ,64 ,64 ,64 ,64 ,64 ,64 ,64 ,64
64 ,95 ,23 ,24 ,114,24 ,24 ,24 ,114,24 ,25 ,24 ,97 ,64 ,64 ,64 ,64 ,64 ,64 ,19 ,19 ,19 ,19 ,19 ,19 ,91 ,92 ,64 ,64 ,64 ,64 ,64
64 ,113,24 ,24 ,24 ,24 ,24 ,24 ,24 ,24 ,24 ,24 ,115,64 ,64 ,64 ,64 ,64 ,90 ,19 ,19 ,19 ,19 ,19 ,19 ,19 ,109,91 ,92 ,64 ,64 ,64
64 ,113,24 ,24 ,24 ,24 ,24 ,24 ,24 ,24 ,24 ,24 ,115,64 ,64 ,64 ,64 ,64 ,108,19 ,19 ,19 ,19 ,19 ,19 ,19 ,19 ,19 ,110,64 ,64 ,64
64 ,113,24 ,24 ,24 ,24 ,24 ,24 ,24 ,24 ,24 ,24 ,116,97 ,64 ,64 ,64 ,64 ,108,19 ,19 ,19 ,19 ,19 ,19 ,19 ,19 ,19 ,110,64 ,64 ,64
64 ,113,24 ,24 ,24 ,24 ,24 ,24 ,24 ,24 ,24 ,24 ,24 ,133,64 ,64 ,64 ,130,108,110,172,174,130,19 ,19 ,19 ,19 ,19 ,128,64 ,64 ,64
64 ,131,133,194,131,116,96 ,117,24 ,114,114,24 ,133,135,64 ,64 ,64 ,64 ,126,128,172,174,64 ,64 ,126,129,109,110,64 ,64 ,64 ,64
64 ,135,64 ,64 ,64 ,131,132,132,132,132,132,133,64 ,64 ,64 ,64 ,154,155,155,155,176,175,155,156,64 ,126,127,128,64 ,64 ,64 ,64
64 ,64 ,64 ,64 ,64 ,64 ,64 ,64 ,64 ,64 ,64 ,64 ,64 ,64 ,64 ,154,173,173,173,173,173,173,173,174,64 ,64 ,64 ,64 ,64 ,64 ,64 ,64
100,101,101,101,101,101,101,102,64 ,64 ,64 ,64 ,64 ,64 ,64 ,172,193,173,173,173,173,173,173,174,64 ,64 ,64 ,64 ,64 ,64 ,64 ,64
118,119,119,119,119,119,119,120,64 ,64 ,64 ,64 ,64 ,64 ,64 ,172,173,173,173,173,173,193,173,192,64 ,64 ,64 ,64 ,64 ,64 ,64 ,64
118,119,119,119,119,119,119,121,101,101,101,102,64 ,64 ,194,172,173,157,191,191,191,191,192,64 ,64 ,194,64 ,64 ,64 ,64 ,64 ,64
118,119,119,119,119,119,119,103,137,137,137,138,64 ,64 ,64 ,64 ,172,173,174,194,64 ,64 ,64 ,64 ,64 ,64 ,64 ,64 ,64 ,64 ,64 ,64 ,64
118,119,119,119,119,119,119,120,64 ,64 ,64 ,64 ,64 ,64 ,64 ,190,191,192,64 ,64 ,64 ,64 ,64 ,64 ,64 ,64 ,64 ,64 ,64 ,64 ,64 ,64
118,119,119,119,119,119,119,120,64 ,64 ,64 ,64 ,64 ,64 ,64 ,64 ,64 ,64 ,64 ,64 ,64 ,64 ,64 ,64 ,64 ,64 ,64 ,64 ,64 ,64 ,64 ,64
118,119,119,119,119,119,119,121,101,101,101,102,64 ,64 ,64 ,64 ,64 ,64 ,64 ,64 ,64 ,64 ,64 ,64 ,64 ,64 ,64 ,64 ,64 ,64 ,64 ,64
118,119,119,119,119,119,119,103,137,137,137,138,64 ,64 ,64 ,64 ,64 ,64 ,64 ,64 ,64 ,64 ,64 ,64 ,64 ,64 ,64 ,64 ,64 ,64 ,64 ,64
136,137,137,137,137,137,137,138,64 ,64 ,64 ,64 ,64 ,64 ,64 ,64 ,64 ,64 ,64 ,64 ,64 ,64 ,64 ,64 ,64 ,64 ,64 ,64 ,64 ,64 ,64 ,64
